INCIDENCECODE,CLUSTER
4423086671223_0,87
4423086671223_1,17
4424593842416,0
4424859724910,-1
4427559861037_1,52
4427559861037_2,53
4430582745375,4
4435875920420,9
4446318665680_1,16
4455095880301,-1
4457252128782,24
4463857283890_1,70
446438805756_1,52
446438805756_2,53
4465640408726_0,4
4465640408726_1,108
4468232094442,48
4468322535557,18
4471326354550_0,25
4471326354550_1,-1
4471326354550_2,-1
4471326354550_3,-1
4488324682400_1,-1
4496942010493_1,4
4502841733793,0
4503755644109,38
4506432887694_0,56
4506432887694_1,33
4507271349387,108
4507816161694_1,3
4507816161694_2,13
4508238930694,4
451979563312,4
4520506469747,-1
4522222734412_1,46
4522222734412_2,3
4523804891718_1,-1
4523804891718_2,13
4525896759778,15
45329670080,16
4538024476928_1,4
4541832377211,1
4545921391268_0,28
4545921391268_1,58
4545921391268_2,4
4545921391268_3,4
4549207747523,18
4550556049424,16
4553476375959_1,5
4553476375959_2,106
455591622752,21
4557866146794,40
4558642131545,95
4564316716276_1,7
4564923767303_1,57
4567336047524,81
4573232078659,-1
4573491259090,9
4574413566051_1,5
4574413566051_2,-1
4574413566051_3,29
4577490361635,1
4579333298194,1
4581655755951,4
4583410598750_0,4
4583410598750_1,53
4583410598750_2,-1
4586402371084_1,24
4587059758756,107
4587883977109,16
4594443279350,1
4596846268956_1,16
4604906113622,3
4610756235196_1,5
4610756235196_2,4
4611432790207_0,4
4611432790207_1,4
4611432790207_2,33
4614192416927_1,32
462315505506,50
4624142559863,16
4634807353672,115
4638304044615,24
464059168423,1
4644471919168,1
4647254280315,16
4650721091139_1,32
4651347160089_1,5
4666998538968_1,-1
4667901822233,38
4675378906339,2
4675703232686_0,77
4675703232686_1,-1
4691994753170,15
4698627007413_1,4
4698627007413_2,4
4698627007413_3,103
4702410722828,47
4704739019538_0,4
4704739019538_1,7
4704739019538_2,25
4704739019538_3,-1
4705572449167_1,97
4717743445025_1,5
4717743445025_2,-1
472750351016,-1
4727524173867,56
4728394254813,86
4733751965219,85
473388550058,24
4735449014003_1,76
4735449014003_2,57
4735633156213,3
4736268658580,16
4744139345016,1
4749551130200_0,112
4749551130200_1,24
4751542837283,39
4751545361451_1,20
4751951895602,75
4753011077229,1
4754737114386_1,84
4754737114386_2,51
4758114885528_0,-1
4758114885528_1,5
4761235951043_0,7
4761235951043_1,24
4762847090246,45
47647859779,40
476532034110,-1
4766291121694,85
4772348606324,84
4775529718478_1,4
4775529718478_2,4
4776605874557,11
4778319071071,54
4778485703171_1,-1
4780222728786_0,39
4780222728786_1,17
4780572636402,18
4787587581638_1,4
47887143542_1,-1
4794699911488,4
4805341063947,86
4806129637666,16
4817358261666,4
482552361081,24
4826967171196,1
4827489144275,-1
4830747297134_1,116
4830747297134_2,19
4832397558619_1,-1
4834316818922_1,-1
4836263528815,1
4837333840417,61
483742892887,4
4842353943650,9
4845820531767,81
4846173445504,34
4864982855754,1
486615172850,1
4867478512427_0,14
4867478512427_1,24
4869159472888_1,24
4871135011481_1,4
4871135011481_2,92
4872475572013,-1
4876277641473,3
4886044096203_1,32
4886627108300,16
